,country,iso3,year,gdp_usd,Rank,Country,Production (bpd),(bpd) million
0,algeria,DZA,2015,187493855609.345,4,Algeria,960000,0.96
1,algeria,DZA,2016,180763839522.151,4,Algeria,960000,0.96
2,algeria,DZA,2017,189880896903.073,4,Algeria,960000,0.96
3,algeria,DZA,2018,194554483655.528,4,Algeria,960000,0.96
4,algeria,DZA,2019,193459662090.677,4,Algeria,960000,0.96
5,algeria,DZA,2020,164873415325.201,4,Algeria,960000,0.96
6,algeria,DZA,2021,186231205262.082,4,Algeria,960000,0.96
7,algeria,DZA,2022,225638456572.143,4,Algeria,960000,0.96
8,algeria,DZA,2023,247626161016.414,4,Algeria,960000,0.96
9,angola,AGO,2015,90496420506.5957,3,Angola,1300000,1.3
10,angola,AGO,2016,52761617225.9253,3,Angola,1300000,1.3
11,angola,AGO,2017,73690154990.7312,3,Angola,1300000,1.3
12,angola,AGO,2018,79450688259.3664,3,Angola,1300000,1.3
13,angola,AGO,2019,70897962732.0277,3,Angola,1300000,1.3
14,angola,AGO,2020,48501561203.5686,3,Angola,1300000,1.3
15,angola,AGO,2021,66505129987.7235,3,Angola,1300000,1.3
16,angola,AGO,2022,104399746853.401,3,Angola,1300000,1.3
17,angola,AGO,2023,84824654481.7249,3,Angola,1300000,1.3
18,equatorial guinea,GNQ,2015,13185496881.0174,6,Equatorial Guinea,400000,0.4
19,equatorial guinea,GNQ,2016,11240808847.8878,6,Equatorial Guinea,400000,0.4
20,equatorial guinea,GNQ,2017,12200913878.9827,6,Equatorial Guinea,400000,0.4
21,equatorial guinea,GNQ,2018,13097012133.6159,6,Equatorial Guinea,400000,0.4
22,equatorial guinea,GNQ,2019,11364133549.7478,6,Equatorial Guinea,400000,0.4
23,equatorial guinea,GNQ,2020,9893816007.7398,6,Equatorial Guinea,400000,0.4
24,equatorial guinea,GNQ,2021,12215878032.7166,6,Equatorial Guinea,400000,0.4
25,equatorial guinea,GNQ,2022,13687643435.6249,6,Equatorial Guinea,400000,0.4
26,equatorial guinea,GNQ,2023,12337550583.754,6,Equatorial Guinea,400000,0.4
27,gabon,GAB,2015,14383107762.6952,7,Gabon,300000,0.3
28,gabon,GAB,2016,14023890265.3665,7,Gabon,300000,0.3
29,gabon,GAB,2017,14929487485.1623,7,Gabon,300000,0.3
30,gabon,GAB,2018,16867326401.9626,7,Gabon,300000,0.3
31,gabon,GAB,2019,16874405465.391,7,Gabon,300000,0.3
32,gabon,GAB,2020,15342236163.9864,7,Gabon,300000,0.3
33,gabon,GAB,2021,19444935097.2395,7,Gabon,300000,0.3
34,gabon,GAB,2022,20440655695.1804,7,Gabon,300000,0.3
35,gabon,GAB,2023,19388402541.6698,7,Gabon,300000,0.3
36,ghana,GHA,2015,49406010054.2663,10,Ghana,150000,0.15
37,ghana,GHA,2016,56164929304.8754,10,Ghana,150000,0.15
38,ghana,GHA,2017,60405924078.7278,10,Ghana,150000,0.15
39,ghana,GHA,2018,67298914624.3723,10,Ghana,150000,0.15
40,ghana,GHA,2019,68337969247.7067,10,Ghana,150000,0.15
41,ghana,GHA,2020,70043099675.68,10,Ghana,150000,0.15
42,ghana,GHA,2021,79524421861.2743,10,Ghana,150000,0.15
43,ghana,GHA,2022,74263364041.8742,10,Ghana,150000,0.15
44,ghana,GHA,2023,76370396722.154,10,Ghana,150000,0.15
45,libya,LBY,2015,48717501321.3052,2,Libya,1400000,1.4
46,libya,LBY,2016,49912073701.298,2,Libya,1400000,1.4
47,libya,LBY,2017,67157452181.7738,2,Libya,1400000,1.4
48,libya,LBY,2018,76686029772.1483,2,Libya,1400000,1.4
49,libya,LBY,2019,69254496471.6938,2,Libya,1400000,1.4
50,libya,LBY,2020,46854285440.642,2,Libya,1400000,1.4
51,libya,LBY,2021,35217995647.2862,2,Libya,1400000,1.4
52,libya,LBY,2022,43246297921.8499,2,Libya,1400000,1.4
53,libya,LBY,2023,45096462972.4014,2,Libya,1400000,1.4
54,niger,NER,2015,9683867926.44282,12,Niger,110000,0.11
55,niger,NER,2016,10398861981.7583,12,Niger,110000,0.11
56,niger,NER,2017,11185104251.6943,12,Niger,110000,0.11
57,niger,NER,2018,12837307496.8821,12,Niger,110000,0.11
58,niger,NER,2019,12889555561.2299,12,Niger,110000,0.11
59,niger,NER,2020,13744653103.058,12,Niger,110000,0.11
60,niger,NER,2021,14915002436.069,12,Niger,110000,0.11
61,niger,NER,2022,15433852712.2963,12,Niger,110000,0.11
62,niger,NER,2023,16819170420.5653,12,Niger,110000,0.11
63,nigeria,NGA,2015,493026682800.63,1,Nigeria,1510000,1.51
64,nigeria,NGA,2016,404649125252.16,1,Nigeria,1510000,1.51
65,nigeria,NGA,2017,375745731053.427,1,Nigeria,1510000,1.51
66,nigeria,NGA,2018,421739251509.08,1,Nigeria,1510000,1.51
67,nigeria,NGA,2019,474517490844.461,1,Nigeria,1510000,1.51
68,nigeria,NGA,2020,432198898467.795,1,Nigeria,1510000,1.51
69,nigeria,NGA,2021,440833635873.827,1,Nigeria,1510000,1.51
70,nigeria,NGA,2022,477403400101.174,1,Nigeria,1510000,1.51
71,nigeria,NGA,2023,363846332834.618,1,Nigeria,1510000,1.51
